dates;dgnp;unemp
1948,25;1,658814197;3,666666667
1948,5;0,571161411;3,766666667
1948,75;0,110615467;3,833333333
1949;-1,40637007;4,666666667
1949,25;-0,357035191;5,866666667
1949,5;1,00375553;6,7
1949,75;-0,890116064;6,966666667
1950;3,868005089;6,4
1950,25;3,019351964;5,566666667
1950,5;3,866881255;4,633333333
1950,75;1,883420267;4,233333333
1951;1,316397312;3,5
1951,25;1,804380866;3,1
1951,5;2,053773873;3,166666667
1951,75;0,255655103;3,366666667
1952;1,017071414;3,066666667
1952,25;0,217439558;2,966666667
1952,5;0,703372894;3,233333333
1952,75;3,200323685;2,833333333
1953;1,821403423;2,7
1953,25;0,800404217;2,566666667
1953,5;-0,625688205;2,733333333
1953,75;-1,515418297;3,7
1954;-0,433380938;5,266666667
1954,25;0,105163208;5,8
1954,5;1,124101707;5,966666667
1954,75;1,999702531;5,333333333
1955;2,811841873;4,733333333
1955,25;1,593138798;4,4
1955,5;1,339777822;4,1
1955,75;0,608793254;4,233333333
1956;-0,316411731;4,033333333
1956,25;0,810126054;4,2
1956,5;-0,072942787;4,133333333
1956,75;1,536856777;4,133333333
1957;0,742435774;3,933333333
1957,25;-0,163853749;4,1
1957,5;0,935308384;4,233333333
1957,75;-1,183323271;4,933333333
1958;-2,599007931;6,3
1958,25;0,661199536;7,366666667
1958,5;2,252531095;7,333333333
1958,75;2,292137128;6,366666667
1959;1,888321362;5,833333333
1959,25;2,218695092;5,1
1959,5;0,1127849;5,266666667
1959,75;0,319570159;5,6
1960;2,185333961;5,133333333
1960,25;-0,523884142;5,233333333
1960,5;0,511368954;5,533333333
1960,75;-1,247282001;6,266666667
1961;0,707428534;6,8
1961,25;1,635447419;7
1961,5;1,903571293;6,766666667
1961,75;1,94404256;6,2
1962;1,751659202;5,633333333
1962,25;0,956787733;5,533333333
1962,5;1,219339648;5,566666667
1962,75;0,430919926;5,533333333
1963;1,039243805;5,766666667
1963,25;1,079419022;5,733333333
1963,5;2,172365835;5,5
1963,75;0,671823105;5,566666667
1964;2,135909212;5,466666667
1964,25;1,043794511;5,2
1964,5;1,561181936;5
1964,75;0,252257189;4,966666667
1965;2,468476611;4,9
1965,25;1,270865272;4,666666667
1965,5;2,126827626;4,366666667
1965,75;2,197161978;4,1
1966;2,411342444;3,866666667
1966,25;0,339917314;3,833333333
1966,5;0,823036122;3,766666667
1966,75;0,840370312;3,7
1967;0,867757981;3,833333333
1967,25;0,042534939;3,833333333
1967,5;1,000599862;3,8
1967,75;0,726238463;3,9
1968;2,022327723;3,733333333
1968,25;1,659388053;3,566666667
1968,5;0,786851831;3,533333333
1968,75;0,384749734;3,4
1969;1,545270329;3,4
1969,25;0,276647178;3,433333333
1969,5;0,625150828;3,566666667
1969,75;-0,486200327;3,566666667
1970;-0,131191344;4,166666667
1970,25;0,162542503;4,766666667
1970,5;0,902050505;5,166666667
1970,75;-1,125778043;5,833333333
1971;2,771657272;5,933333333
1971,25;0,573625858;5,9
1971,5;0,744847757;6,033333333
1971,75;0,269084967;5,933333333
1972;1,839055014;5,766666667
1972,25;2,218323159;5,7
1972,5;0,989504778;5,566666667
1972,75;1,644556173;5,366666667
1973;2,534381679;4,933333333
1973,25;1,126878079;4,933333333
1973,5;-0,382157805;4,8
1973,75;0,942519147;4,766666667
1974;-0,681321439;5,133333333
1974,25;0,171781167;5,2
1974,5;-1,040243651;5,633333333
1974,75;-0,527072356;6,6
1975;-1,35834331;8,266666667
1975,25;0,712325257;8,866666667
1975,5;1,744953038;8,466666667
1975,75;1,478883448;8,3
1976;2,176142018;7,733333333
1976,25;0,759664726;7,566666667
1976,5;0,551404237;7,733333333
1976,75;0,737951203;7,766666667
1977;1,296807939;7,5
1977,25;1,883998717;7,133333333
1977,5;1,759985649;6,9
1977,75;-0,110292679;6,666666667
1978;0,455360484;6,333333333
1978,25;3,588223314;6
1978,5;1,067466521;6,033333333
1978,75;1,454317001;5,9
1979;0,202627057;5,866666667
1979,25;0,230457676;5,7
1979,5;0,954863683;5,866666667
1979,75;0,236347516;5,966666667
1980;0,334509896;6,3
1980,25;-2,159930245;7,333333333
1980,5;-0,192486543;7,666666667
1980,75;1,599964591;7,4
1981;1,985610455;7,433333333
1981,25;-0,795917384;7,4
1981,5;1,238821155;7,4
1981,75;-0,956677794;8,233333333
1982;-1,6104735;8,833333333
1982,25;0,585864973;9,433333333
1982,5;-0,568450332;9,9
1982,75;-0,000174422;10,66666667
1983;1,284546553;10,36666667
1983,25;2,291334792;10,13333333
1983,5;1,978757685;9,366666667
1983,75;2,081886984;8,533333333
1984;1,837688178;7,866666667
1984,25;1,701853565;7,433333333
1984,5;0,940854992;7,433333333
1984,75;0,707731149;7,3
1985;0,775594135;7,233333333
1985,25;0,903639875;7,3
1985,5;1,38658644;7,2
1985,75;0,80015074;7,033333333
1986;0,849651443;7,033333333
1986,25;0,29422806;7,166666667
1986,5;0,995290391;6,966666667
1986,75;0,394593778;6,833333333
1987;0,777157161;6,6
1987,25;1,141451147;6,266666667
1987,5;0,847443537;6
1987,75;1,730207034;5,833333333
1988;0,614792657;5,7
1988,25;1,251779024;5,466666667
1988,5;0,525684637;5,466666667
1988,75;1,359198682;5,333333333
1989;0,99473622;5,2
1989,25;0,736808915;5,233333333
1989,5;0,776254916;5,233333333
1989,75;0,302182675;5,366666667
1990;1,049421991;5,3
1990,25;0,386488133;5,333333333
1990,5;-0,019636211;5,7
1990,75;-0,537962633;6,133333333
1991;-0,659493081;6,6
1991,25;0,587643564;6,833333333
1991,5;0,441544896;6,866666667
1991,75;0,472686866;7,1
1992;1,175402725;7,366666667
1992,25;1,061416081;7,6
1992,5;0,93480351;7,633333333
1992,75;1,047903031;7,366666667
1993;0,264598311;7,133333333
1993,25;0,479672127;7,066666667
1993,5;0,5535288;6,8
1993,75;1,121577034;6,633333333
1994;1,058147308;6,566666667
1994,25;1,277149846;6,2
1994,5;0,556498738;6
1994,75;1,119126113;5,633333333
1995;0,473164286;5,466666667
1995,25;0,328524061;5,666666667
1995,5;0,660663303;5,666666667
1995,75;0,82190126;5,566666667
1996;0,826312373;5,533333333
1996,25;1,542172043;5,5
1996,5;0,84902264;5,266666667
1996,75;1,095265222;5,333333333
1997;0,540746057;5,233333333
1997,25;1,731797008;5
1997,5;1,149902549;4,866666667
1997,75;0,774136492;4,666666667
1998;1,093012595;4,633333333
1998,25;0,885048782;4,4
1998,5;1,097491592;4,533333333
1998,75;1,627444323;4,433333333
1999;1,039762057;4,3
1999,25;0,814253842;4,266666667
1999,5;1,264017594;4,233333333
1999,75;1,779796932;4,066666667
2000;0,322242148;4,033333333
2000,25;1,83788605;3,933333333
2000,5;0,087354095;4
2000,75;0,854075397;3,9
2001;-0,423839532;4,233333333
2001,25;0,662810167;4,4
2001,5;-0,631424092;4,833333333
2001,75;0,86382992;5,5
2002;0,507881172;5,7
2002,25;0,42593526;5,833333333
2002,5;0,563370386;5,733333333
2002,75;0,289366524;5,866666667
2003;0,406906426;5,866666667
2003,25;0,960849111;6,133333333
2003,5;1,664792274;6,133333333
2003,75;1,353678099;5,833333333
2004;0,675575133;5,7
2004,25;0,538154259;5,6
2004,5;1,012898514;5,433333333
2004,75;0,773572505;5,433333333
2005;1,348205794;5,3
2005,25;0,35864017;5,1
2005,5;0,948019;4,966666667
2005,75;0,396035429;4,966666667
2006;1,324259871;4,733333333
2006,25;0,188429601;4,633333333
2006,5;0,054507795;4,633333333
2006,75;0,921303418;4,433333333
2007;0,245831318;4,5
2007,25;0,72104123;4,5
2007,5;0,927441389;4,666666667
2007,75;0,904644236;4,8
2008;-0,687527924;5
2008,25;0,526706435;5,333333333
2008,5;-0,424410681;6
2008,75;-2,692417808;6,866666667
2009;-1,050348735;8,266666667
2009,25;-0,157466393;9,3
2009,5;0,740341028;9,633333333
2009,75;1,020129469;9,933333333
2010;0,584811239;9,833333333
2010,25;0,910827608;9,633333333
2010,5;0,683462562;9,466666667
2010,75;0,586149025;9,5
2011;-0,169403091;9,033333333
2011,25;0,707148847;9,066666667
2011,5;0,126383439;9
2011,75;1,238692818;8,633333333
2012;0,665133848;8,266666667
2012,25;0,295669333;8,2
2012,5;0,131851278;8,033333333
2012,75;0,078095557;7,8
2013;0,803956425;7,733333333
2013,25;0,201925722;7,533333333
2013,5;0,842675954;7,233333333
2013,75;0,761176127;6,933333333
2014;-0,258311372;6,666666667
2014,25;1,278263498;6,2
2014,5;1,325919743;6,066666667
2014,75;0,378287313;5,7
2015;0,920952224;5,533333333
2015,25;0,602468352;5,433333333
2015,5;0,361912121;5,1
2015,75;0,265580435;5,033333333
2016;0,458170182;4,933333333
2016,25;0,323281115;4,9
2016,5;0,553432906;4,9
2016,75;0,880049591;4,766666667
2017;0,564914552;4,566666667
2017,25;0,36936465;4,366666667
2017,5;0,879428004;4,3
2017,75;1,036494537;4,133333333
2018;0,8576528;4,066666667
2018,25;0,536006562;3,933333333
2018,5;0,359695305;3,766666667
2018,75;0,379761135;3,8
2019;0,587993255;3,866666667
2019,25;0,473854053;3,633333333
2019,5;0,661912293;3,633333333
2019,75;0,578798744;3,533333333
2020;-1,432607007;3,833333333
